,image_doc_id,user_doc_id,amount_dist,vendor_name_dist,vendor_address_dist,date_dist,amount_img,amount_user,date_img,date_user,vendor_address_img,vendor_address_user,vendor_name_img,vendor_name_user,sum
168,00d0975647472,00d0989196649,14.48,9.842732429504395,11.360644340515137,11.633517265319824,16.60,2.12,23/10/2017,2018-2-1,"Lot 3, Jalan Pelabur 23/1, 40300 Shah Alam, Selangor.","NO 290, JALAN AIR PANAS, SETAPAK, 5320, KUALA LUMPUR.",BAKEA RIES (KL. i SDN BHD.,SYARIKAT PERNIAGAAN GIN KEE,47.31689403533936
170,00d0975647472,00d0989196649,14.48,9.842732429504395,11.360644340515137,11.633517265319824,16.60,2.12,23/10/2017,2018-2-1,"Lot 3, Jalan Pelabur 23/1, 40300 Shah Alam, Selangor.","NO 290, JALAN AIR PANAS, SETAPAK, 5320, KUALA LUMPUR.",BAKEA RIES (KL. i SDN BHD.,SYARIKAT PERNIAGAAN GIN KEE,47.31689403533936
293,00d0859215539,00d0989196649,9.36,17.126588821411133,10.810713768005371,10.113326072692871,11.48,2.12,19-03-18,2018-2-1,"LOT P.T, 2811, JALAN ANGSA, TAMAN BERKELEY 41150 KLANG, SELANGOR 1245-DESA SRI HARTAMAS","NO 290, JALAN AIR PANAS, SETAPAK, 5320, KUALA LUMPUR.",99 SPEED MART S/,SYARIKAT PERNIAGAAN GIN KEE,47.410628662109374
317,00d0569507667,00d0989196649,10.18,17.17669677734375,11.83742904663086,8.542290687561035,12.30,2.12,14/04/2018,2018-2-1,"LOT G29 & G30, AEON Mall TEBRAU CITY, NO, 1, JALAN DESA TEBRAU, TAMAN DESA TEBRAU, 81100 JOHOR BARU.","NO 290, JALAN AIR PANAS, SETAPAK, 5320, KUALA LUMPUR.",CONFECTIONERY & BAKERY S/,SYARIKAT PERNIAGAAN GIN KEE,47.736416511535644
43,00d0955195431,00d0989196649,8.98,16.713876724243164,11.182936668395996,12.375371932983398,11.10,2.12,16/09/2017,2018-2-1,"Lot 3, Jalan#elabur 23/1, 40300 Shah Alam, Selangor.","NO 290, JALAN AIR PANAS, SETAPAK, 5320, KUALA LUMPUR.",BAKERIES (KL) SDN BILD,SYARIKAT PERNIAGAAN GIN KEE,49.25218532562256
99,00d0192025858,00d0989196649,9.559999999999999,17.066003799438477,11.323843002319336,12.15404987335205,11.68,2.12,05/08/2017,2018-2-1,"GROUND FLOOR, NO. 4 & 6, JALAN SS 15/4B, 47500 SUBANG JAYA, SELANGOR","NO 290, JALAN AIR PANAS, SETAPAK, 5320, KUALA LUMPUR.",GARDENIA BAKERIES (KL) SDN BHD,SYARIKAT PERNIAGAAN GIN KEE,50.103896675109866
98,00d0192025858,00d0989196649,9.559999999999999,17.066003799438477,11.516361236572266,12.15404987335205,11.68,2.12,05/08/2017,2018-2-1,"Lot 3, Jalan Pelabar 23/1 40300 Shah Alam, Selangor.","NO 290, JALAN AIR PANAS, SETAPAK, 5320, KUALA LUMPUR.",GARDENIA BAKERIES (KL) SDN BHD,SYARIKAT PERNIAGAAN GIN KEE,50.296414909362795
334,00d0413686396,00d0989196649,16.779999999999998,14.095969200134277,12.038495063781738,8.978120803833008,18.90,2.12,11/06/2018,2018-2-1,"Level 6, Bangunan TH, Damansara Uptown3 No.3, Jalan $$21/39,47490 Petaling Jaya","NO 290, JALAN AIR PANAS, SETAPAK, 5320, KUALA LUMPUR.",Gerbang Alaf Restaurants Sdn Bhd,SYARIKAT PERNIAGAAN GIN KEE,51.892585067749025
333,00d0413686396,00d0989196649,16.779999999999998,14.095969200134277,12.038495063781738,8.978120803833008,18.90,2.12,11/06/2018,2018-2-1,"Level 6, Bangunan TH, Damansara Uptown3 No.3, Jalan $$21/39,47490 Petaling Jaya","NO 290, JALAN AIR PANAS, SETAPAK, 5320, KUALA LUMPUR.",Gerbang Alaf Restaurants Sdn Bhd,SYARIKAT PERNIAGAAN GIN KEE,51.892585067749025
140,00d0288011947,00d0989196649,10.98,13.657915115356445,13.246081352233887,14.275314331054688,13.10,2.12,25/05/2016,2018-2-1,"level 6, Bangunan Th, Damansara Uotowns No.3, Jalan $$21/39,47400","NO 290, JALAN AIR PANAS, SETAPAK, 5320, KUALA LUMPUR.",-Gerbang Alaf Restaurants Sdn Bra,SYARIKAT PERNIAGAAN GIN KEE,52.15931079864502
152,00d0115214912,00d0989196649,13.879999999999999,14.422309875488281,13.672628402709961,11.920673370361328,16.00,2.12,10/05/2017,2018-2-1,"x, SETIA ALAN, SERSYEN U3 oL70 SHAH ALAM, “","NO 290, JALAN AIR PANAS, SETAPAK, 5320, KUALA LUMPUR.",HUAT HARDWARE ENTERPRISE,SYARIKAT PERNIAGAAN GIN KEE,53.895611648559566
301,00d0449236994,00d0989196649,19.279999999999998,11.594937324523926,11.546586990356445,11.665094375610352,21.40,2.12,10/08/2017,2018-2-1,"4-20, Jalan Ria 25/62 Taman Sri Muda Seksyen 25, 40400 Shah Alam Selangor","NO 290, JALAN AIR PANAS, SETAPAK, 5320, KUALA LUMPUR.",MYDIN MART SRI MUDA,SYARIKAT PERNIAGAAN GIN KEE,54.086618690490724
151,00d0115214912,00d0989196649,13.879999999999999,14.422309875488281,13.908591270446777,11.920673370361328,16.00,2.12,10/05/2017,2018-2-1,(SETIA ALAM) SEN BHO 8227. Z7-X,"NO 290, JALAN AIR PANAS, SETAPAK, 5320, KUALA LUMPUR.",HUAT HARDWARE ENTERPRISE,SYARIKAT PERNIAGAAN GIN KEE,54.13157451629638
135,00d0782503250,00d0989196649,12.68,19.325529098510742,10.826534271240234,11.536934852600098,14.80,2.12,28/04/18,2018-2-1,"30, Jin Kebudayaan 7, Tmn Universiti 81300 Skudai, Johor","NO 290, JALAN AIR PANAS, SETAPAK, 5320, KUALA LUMPUR.",DOMINO'S PIZZA TAMAN UNIVERSITI,SYARIKAT PERNIAGAAN GIN KEE,54.368998222351074
134,00d0782503250,00d0989196649,12.68,19.82399559020996,10.826534271240234,11.536934852600098,14.80,2.12,28/04/18,2018-2-1,"30, Jin Kebudayaan 7, Tmn Universiti 81300 Skudai, Johor","NO 290, JALAN AIR PANAS, SETAPAK, 5320, KUALA LUMPUR.",DOMINO'S PIZZA,SYARIKAT PERNIAGAAN GIN KEE,54.86746471405029
339,00d0910776987,00d0989196649,17.779999999999998,16.404691696166992,10.524053573608398,10.656103134155273,19.90,2.12,03-05-18,2018-2-1,"LOT F.T. 2811, JALAN ANGSA, TAMAN BERKELEY 41150 KLANG, SELANGOR","NO 290, JALAN AIR PANAS, SETAPAK, 5320, KUALA LUMPUR.",SPEED MART S/,SYARIKAT PERNIAGAAN GIN KEE,55.364848403930665
302,00d0393260166,00d0989196649,16.419999999999998,16.840402603149414,11.36064338684082,11.384710311889648,18.54,2.12,14/10/2017,2018-2-1,"Lot 3, Jalan Pelabur 23/1, 40300 Shah Alam, Selangor.","NO 290, JALAN AIR PANAS, SETAPAK, 5320, KUALA LUMPUR.",GARDENIA BAKERIES (KL) S,SYARIKAT PERNIAGAAN GIN KEE,56.005756301879885
150,00d0115214912,00d0989196649,13.879999999999999,14.422309875488281,13.672628402709961,14.315654754638672,16.00,2.12,"17-6, JALAN SETIA IRDA",2018-2-1,"x, SETIA ALAN, SERSYEN U3 oL70 SHAH ALAM, “","NO 290, JALAN AIR PANAS, SETAPAK, 5320, KUALA LUMPUR.",HUAT HARDWARE ENTERPRISE,SYARIKAT PERNIAGAAN GIN KEE,56.29059303283691
149,00d0115214912,00d0989196649,13.879999999999999,14.422309875488281,13.908591270446777,14.315654754638672,16.00,2.12,"17-6, JALAN SETIA IRDA",2018-2-1,(SETIA ALAM) SEN BHO 8227. Z7-X,"NO 290, JALAN AIR PANAS, SETAPAK, 5320, KUALA LUMPUR.",HUAT HARDWARE ENTERPRISE,SYARIKAT PERNIAGAAN GIN KEE,56.526555900573726
260,00d0665595833,00d0989196649,13.84,16.404691696166992,10.410778999328613,16.26515007019043,15.96,2.12,05-12-14 Total Sales (Inclusive GST) RM,2018-2-1,"LOT P.7. 2811, JALAN ANGSA, TAMAN BERKELEY 41150 KLANG, SELANGOR","NO 290, JALAN AIR PANAS, SETAPAK, 5320, KUALA LUMPUR.",SPEED MART S/,SYARIKAT PERNIAGAAN GIN KEE,56.92062076568604
78,00d0992959314,00d0989196649,23.279999999999998,14.095969200134277,11.378342628479004,8.602664947509766,25.40,2.12,21/03/2018,2018-2-1,"Level 6, Bangunan TH, Damansara Uptown3 No.3, Jalan $S21/39,47400 Petaling Jaya Selangor","NO 290, JALAN AIR PANAS, SETAPAK, 5320, KUALA LUMPUR.",Gerbang Alaf Restaurants Sdn Bhd,SYARIKAT PERNIAGAAN GIN KEE,57.35697677612305
194,00d0353443719,00d0989196649,27.119999999999997,11.972021102905273,9.6525297164917,9.047648429870605,29.24,2.12,09/03/2018,2018-2-1,"SRD FLR, AEON TAMAN MALURI SC JLN JEJAKA, TAMAN MALURT CHERAS, 55100 KUALA LUMPUR","NO 290, JALAN AIR PANAS, SETAPAK, 5320, KUALA LUMPUR.",AEON CO. (M) BHD,SYARIKAT PERNIAGAAN GIN KEE,57.792199249267576
109,00d0186887844,00d0989196649,23.98,11.223289489746094,12.004751205444336,11.362546920776367,26.10,2.12,18,2018-2-1,"LOT 1851-A & 1851-B, JALAN KPB 6, KAWASAN PERINDUSTRIAN BALAKONG, 43300 SERI KEMBANGAN, SELANGOR","NO 290, JALAN AIR PANAS, SETAPAK, 5320, KUALA LUMPUR.",. D.I.Y. (M) SDN BHD,SYARIKAT PERNIAGAAN GIN KEE,58.5705876159668
290,00d0964499840,00d0989196649,24.48,14.095969200134277,11.317737579345703,8.714279174804688,26.60,2.12,18/01/2018,2018-2-1,"Level 6, Bangunan TH, Damansara Uptown3 No.3, Jalan $821/39,47400 Petaling Jaya Selangor","NO 290, JALAN AIR PANAS, SETAPAK, 5320, KUALA LUMPUR.",Gerbang Alaf Restaurants Sdn Bhd,SYARIKAT PERNIAGAAN GIN KEE,58.60798595428467
62,00d0338548353,00d0989196649,15.279999999999998,19.325529098510742,12.847867965698242,11.536934852600098,17.40,2.12,28/04/18,2018-2-1,"30, Jln Kebudayaan 7, Tmn Universiti CARRY","NO 290, JALAN AIR PANAS, SETAPAK, 5320, KUALA LUMPUR.",DOMINO'S PIZZA TAMAN UNIVERSITI,SYARIKAT PERNIAGAAN GIN KEE,58.99033191680908
120,00d0622420051,00d0989196649,28.48,11.972021102905273,9.5249662399292,9.01700210571289,30.60,2.12,12/06/2018,2018-2-1,"SRO FLR, AEON TAMAN MALURI SC JLN JEJAKA, TAMAN MALURI CHERAS, 55100 KUALA LUMPUR","NO 290, JALAN AIR PANAS, SETAPAK, 5320, KUALA LUMPUR.",AEON CO. (M) BHD,SYARIKAT PERNIAGAAN GIN KEE,58.99398944854737
22,00d0716702145,00d0989196649,21.48,16.404691696166992,10.331893920898438,10.858223915100098,23.60,2.12,02-05-18,2018-2-1,"LOT P.7. 2841, JALAN ANGSA, TAMAN BERKELEY 41150 KLANG, SELANGOR","NO 290, JALAN AIR PANAS, SETAPAK, 5320, KUALA LUMPUR.",SPEED MART S/,SYARIKAT PERNIAGAAN GIN KEE,59.07480953216553
